InvoiceNumber,InvoiceDate,CustomerCode,ProductCode,BaseQty,NetAmount,DiscountAmount,UnitPrice,ProductNameTH,GroupNameLevel1,GroupNameLevel2
HSA04C02466,20220523,FMK005932,10000600,300,2887.85,60.0,10.5,เอ็ม-150 ไฮ วิตามินบี12 150มล. 1x5x10,M-150,ENERGY DRINK
HSAG9C00489,20220514,BBD010852,10000600,500,4813.08,100.0,10.5,เอ็ม-150 ไฮ วิตามินบี12 150มล. 1x5x10,M-150,ENERGY DRINK
HSO89C00521,20220225,KMC002697,10000602,20,250.0,2.5,13.5,ซี-วิท เลมอน 140 มล. 1x3x10,C-VITT,REFRESHMENT
IVA562201602,20220421,ASC001613,10000603,30,378.5,0.0,13.5,ซี-วิท ออเร้นจ์ 140 มล. 1x3x10,C-VITT,REFRESHMENT
HSA04C00978,20220228,FMK005932,10000604,20,249.21,3.34,13.5,ซี-วิท ทับทิม 140 มล. 1x3x10,C-VITT,REFRESHMENT
HSS21C00751,20220218,KNS018552,10000604,10,125.0,1.25,13.5,ซี-วิท ทับทิม 140 มล. 1x3x10,C-VITT,REFRESHMENT
HSAM1C00599,20220520,ACW003166,10000627,60,747.66,10.0,13.5,ซี-วิท เลมอน 10ปี 140มล 1x3x10,C-VITT,REFRESHMENT
HSAG8C00858,20220527,STW028293,10000629,10,124.63,1.65,13.5,ซี-วิท ทับทิม 10ปี 140มล 1x3x10,C-VITT,REFRESHMENT
HSAO4C00970,20220622,KNB002023,10000629,10,124.77,1.5,13.5,ซี-วิท ทับทิม 10ปี 140มล 1x3x10,C-VITT,REFRESHMENT
HSZ51C01863,20220506,KNB004432,20001730,6,48.6,0.0,8.67,เบบี้มายด์แป้ง สวีทตี้พิงค์ 50ก. (1x8x6),BBM,BABY TALCUM
HSAA3C01418,20220428,ACW007871,10000420,6,91.59,0.0,16.33,คาลพิส ออริจินัล 300 มล. 1x4x6 SBM,CALPIS LACTO,REFRESHMENT
HSAG9C01345,20220803,BBD001397,10000719,10,83.18,0.0,8.9,เอ็ม-150 น้ำผึ้ง 10 บาท 150มล. 1x5x10,M-150,ENERGY DRINK
HSAO4C01413,20220801,KNB003441,10000477,6,190.65,0.0,34.0,เปปทีน4000 BT 100ML 1x4x6 INNER SBM,PEPTEIN,FUNCTIONAL DRINK
HSS92C00965,20220317,PET013075,10000187,48,366.36,16.0,8.5,เอ็มเกลือแร่ พลัส 250มล. เหลือง (1x24),M-ELECTROLYTE,SPORT DRINK
HSO06C02148,20220521,BBW013370,10000347,8,92.21,0.0,12.33,คาลพิส โซดา องุ่นเคียวโฮ 245 มล 1x4x6,CALPIS LACTO,REFRESHMENT
HSV86C02106,20220510,KCS007175,10000430,50,397.2,5.0,8.6,ฉลามขาว วิตามินซี BOTTLE 150ML 1x5x10,CHALARM,ENERGY DRINK
HSU08C01829,20220426,HTW008924,10000504,150,1163.55,30.0,8.5,โสมอินซัม น้ำตาล 6% 100 มล.(1x5x10),SOM IN SUM,ENERGY DRINK
HSS24C00978,20220312,KNS004938,10000512,150,1443.93,30.0,10.5,ลิโพวิตัน-ดี 100มล 1X5X10,LIPO,ENERGY DRINK
HST22C01097,20220506,EKR000875,10000512,150,1443.93,30.0,10.5,ลิโพวิตัน-ดี 100มล 1X5X10,LIPO,ENERGY DRINK
SOU90C00348,20220201,ASC008242,10000512,0,0.0,0.0,10.5,ลิโพวิตัน-ดี 100มล 1X5X10,LIPO,ENERGY DRINK
HS792204562,20220331,STW004746,10000512,45,441.59,0.0,10.5,ลิโพวิตัน-ดี 100มล 1X5X10,LIPO,ENERGY DRINK
HSAI6C00732,20220620,KMC003658,10000566,12,91.59,4.0,8.5,เอ็มเกลือแร่ 250มล เหลือง 1x24,M-ELECTROLYTE,SPORT DRINK
HSR65C02640,20220607,JTG003537,10000571,6,68.22,1.0,12.33,คาลพิส โซดา ยูสุ ฮันนี่ 245มล 1X4X6,CALPIS LACTO,REFRESHMENT
HSV83C02925,20220709,KCS008102,10000600,500,4813.08,100.0,10.5,เอ็ม-150 ไฮ วิตามินบี12 150มล. 1x5x10,M-150,ENERGY DRINK
